Threshold,Trop.,Arid,Temp.,Conti.
0,183.74969354940677,33.69726444368452,114.07396788209475,139.80751155653567
1,183.74965570417925,33.67272812116797,114.0709150337405,139.77606217245662
2,183.74476105475176,33.574541832105304,114.06262692891102,139.59694071054793
3,183.72654488523307,33.40704516258684,114.03476022637166,139.222651410257
4,183.6841960756248,33.176996639496,113.97881236500359,138.68870571008463
5,183.59818648852055,32.91556180770533,113.90052320431585,138.02884893791352
6,183.4490762920447,32.655852087536324,113.79889615331673,137.23740430961382
7,183.22011266547642,32.38412650762593,113.67598746936882,136.29185391480402
8,182.89063211458333,32.06559899633436,113.51710058911388,135.17684520618207
9,182.4559670613031,31.688332538144255,113.30722357229756,133.884846983469
10,181.9169501006415,31.23248992629095,113.03645358438234,132.40189435770563
11,181.27706299353136,30.676827373053182,112.70103133276673,130.70401868478834
12,180.55901287649195,30.023539901627803,112.29744982636608,128.77476990581658
13,179.77895966167935,29.30043429294391,111.8316507659029,126.62357148244583
14,178.93208439012122,28.540158363285723,111.30432798054865,124.28587177779764
15,178.01513237224972,27.75627016541657,110.70759704790079,121.80711029506206
16,177.02677902510132,26.948034871168527,110.03024316553406,119.21183597183146
17,175.98527836342222,26.124418645697713,109.25884389275045,116.5049939178367
18,174.86576607272394,25.230501756317352,108.38498497396202,113.68853946983359
19,173.66166969849178,24.29163262105144,107.40538648944933,110.81905124298237
20,172.36077784730873,23.280848092167957,106.31422027417248,107.88044501558198
21,170.94434451647066,22.230089541703855,105.09016684995512,104.88356975285824
22,169.39232435046148,21.14069259081412,103.75778776946551,101.84789051683842
23,167.69351516193174,20.012665123921153,102.30176833062902,98.80830691484488
24,165.81844813370986,18.859216702318083,100.70882485858196,95.75493503495387
25,163.72662887233673,17.685510045794057,98.9854288872323,92.70623073312514
26,161.41351595050847,16.51860764580338,97.12657853900788,89.63282611279388
27,158.8673773476902,15.369639153009405,95.10836824518437,86.5593836472351
28,156.07621612675425,14.248931583874908,92.94668669378726,83.5084527845199
29,153.0668645540208,13.175454858700277,90.70833071141043,80.41671215144942
30,149.8432333030015,12.110721957970005,88.39310476437831,77.33459051370997
31,146.45915090232262,11.092425151421429,86.03219962771512,74.25842319176888
32,142.91336845947555,10.129798674572342,83.64660048008734,71.22070662100026
33,139.25382326266748,9.21398516729579,81.25972720979931,68.23263668121562
34,135.54201380663778,8.366825268088904,78.86483075127452,65.31663036218973
35,131.79523536036857,7.58516126577949,76.43599973872942,62.47232813426102
36,128.04101401935142,6.848920997815291,74.00375004063059,59.70278915332167
37,124.32352777919193,6.177250207116272,71.52693127957498,57.050810064172374
38,120.65676675900109,5.555361659466562,69.04178656846236,54.466946077042664
39,117.03901530846412,4.971848960976485,66.54125777235798,51.96806985587386
40,113.48329218585201,4.456773443161126,64.06652049881663,49.52388314225767
41,109.93209787546789,3.9796428908211023,61.625364557171956,47.121862319649985
42,106.44570720969429,3.5443455068642016,59.22029403997899,44.78946094685627
43,103.00722229443822,3.162172178391907,56.90728203875748,42.487752053590974
44,99.62875991004782,2.8189883042527177,54.683269397615256,40.23535864556875
45,96.31016236807501,2.5129371029708474,52.5310113078736,38.0473935836507
46,93.0432424842971,2.239239826128148,50.49432308170762,35.90361597864516
47,89.83286337045189,2.0036588038374785,48.553764887241734,33.79285833466125
48,86.67683631088049,1.7862856724219949,46.70327833430188,31.725824543552566
49,83.60742436205385,1.601089952939147,44.931383703870026,29.72922702841876
50,80.58565955468994,1.4454402194121034,43.26332060894102,27.794030241186565
51,77.64435370105893,1.304450879455527,41.641069161939434,25.927010054468692
52,74.79190844167294,1.173171107132335,40.067123994113416,24.1458764578656
53,72.01328660612592,1.065824006235496,38.52663716119459,22.434704495008752
54,69.27709557818014,0.9635834486181887,37.00438226663929,20.79122660601519
55,66.64113132781478,0.8680702744158045,35.49733169224494,19.248491135827177
